address,available_date,bedroom_amount,bathroom_amount,parking,rent
"147 Hobson Street, City Centre, Auckland City",Available: Now,2,1,0,380
"606/76 Wakefield Street, City Centre, Auckland City",Available: Now,2,1,0,390
"104/47 Wakefiled street, City Centre, Auckland City",Available: Now,2,1,0,390
"4J/147 Hobson Street, City Centre, Auckland City",Available: Now,2,1,0,395
"72 Nelson Street, City Centre, Auckland City",Available: Now,2,1,0,395
"9L/147 Hobson Street, City Centre, Auckland City",Available: Now,2,1,0,400
"4C/147 Hobson Street, City Centre, Auckland City",Available: Now,2,1,0,400
"7M/147 Hobson Street, City Centre, Auckland City",Available: Now,2,1,0,400
"9x/15 Whitaker Place, City Centre, Auckland City",Available: Mon, 15 Dec,2,1,0,410
"3f/15 Whitaker Place, City Centre, Auckland City",Available: Now,2,1,0,415
